County,Zip Code,City,Agency PD,Total Yearly Crimes,Monthly Avg
Monmouth,7747,ABERDEEN TWP,ABERDEEN TWP PD,174,14.50
Atlantic,8201,ABSECON CITY,ABSECON CITY PD,198,16.50
Bergen,7401,ALLENDALE,ALLENDALE PD,33,2.75
Monmouth,7711,ALLENHURST,ALLENHURST PD,7,0.58
Monmouth,8501,ALLENTOWN BORO,ALLENTOWN BORO PD,5,0.42
Warren,8865,ALPHA,ALPHA PD,4,0.33
Bergen,7620,ALPINE,ALPINE PD,25,2.08
Sussex,7821,ANDOVER TWP,ANDOVER TWP PD,16,1.33
Monmouth,7712,ASBURY PARK,ASBURY PARK PD,827,68.92
Atlantic,8401,ATLANTIC CITY,ATLANTIC CITY PD,1457,121.42
Monmouth,7716,ATLANTIC HIGHLANDS,ATLANTIC HIGHLANDS PD,41,3.42
Camden,8106,AUDUBON,AUDUBON PD,296,24.67
Camden,8106,AUDUBON PARK,AUDUBON PARK PD,15,1.25
Cape May,8202,AVALON BORO,AVALON BORO PD,140,11.67
Monmouth,7717,AVON-BY-THE-SEA,AVON-BY-THE-SEA PD,32,2.67
Ocean,8006,BARNEGAT LIGHT BORO,BARNEGAT LIGHT BORO PD,12,1.00
Ocean,8005,BARNEGAT TWP,BARNEGAT TWP PD,133,11.08
Camden,8007,BARRINGTON,BARRINGTON PD,118,9.83
Ocean,8742,BAYHEAD BORO,BAYHEAD BORO PD,17,1.42
Hudson,7002,BAYONNE,BAYONNE PD,887,73.92
Ocean,8008,BEACH HAVEN,BEACH HAVEN PD,118,9.83
Ocean,8722,BEACHWOOD BORO,BEACHWOOD BORO PD,136,11.33
Somerset,7921,BEDMINSTER TWP,BEDMINSTER TWP PD,35,2.92
Essex,7109,BELLEVILLE,BELLEVILLE PD,651,54.25
Camden,8031,BELLMAWR,BELLMAWR PD,166,13.83
Monmouth,7715,BELMAR,BELMAR PD,89,7.42
Warren,7823,BELVIDERE,BELVIDERE PD,1,0.08
Bergen,7621,BERGENFIELD,BERGENFIELD PD,77,6.42
Union,7922,BERKELEY HEIGHTS,BERKELEY HEIGHTS PD,64,5.33
Ocean,8721,BERKELEY TWP,BERKELEY TWP PD,403,33.58
Camden,8009,BERLIN BORO,BERLIN BORO PD,136,11.33
Camden,8091,BERLIN TWP,BERLIN TWP PD,167,13.92
Somerset,7920,BERNARDS TWP,BERNARDS TWP PD,89,7.42
Somerset,7924,BERNARDSVILLE,BERNARDSVILLE PD,40,3.33
Burlington,8010,BEVERLY CITY,BEVERLY CITY PD,51,4.25
Warren,7825,BLAIRSTOWN TWP,BLAIRSTOWN TWP PD,4,0.33
Essex,7003,BLOOMFIELD,BLOOMFIELD PD,697,58.08
Passaic,7403,BLOOMINGDALE BORO,BLOOMINGDALE BORO PD,38,3.17
Bergen,7603,BOGOTA,BOGOTA PD,47,3.92
Morris,7005,BOONTON,BOONTON PD,101,8.42
Morris,7005,BOONTON TWP,BOONTON TWP PD,26,2.17
Burlington,8505,BORDENTOWN CITY,BORDENTOWN CITY PD,26,2.17
Burlington,8620,BORDENTOWN TWP ,BORDENTOWN TWP  PD,113,9.42
Somerset,8805,BOUND BROOK,BOUND BROOK PD,127,10.58
Monmouth,7720,BRADLEY BEACH,BRADLEY BEACH PD,56,4.67
Somerset,8853,BRANCHBURG TWP,BRANCHBURG TWP PD,84,7.00
Ocean,8723,BRICK TWP,BRICK TWP PD,969,80.75
Cumberland,8302,BRIDGETON,BRIDGETON PD,923,76.92
Somerset,8807,BRIDGEWATER TWP,BRIDGEWATER TWP PD,347,28.92
Monmouth,8730,BRIELLE,BRIELLE PD,23,1.92
Atlantic,8203,BRIGANTINE,BRIGANTINE PD,130,10.83
Monmouth,0,BROOKDALE COLLEGE,BROOKDALE COLLEGE PD,12,1.00
Camden,8031,BROOKLAWN,BROOKLAWN PD,148,12.33
Atlantic,8310,BUENA,BUENA PD,77,6.42
Burlington,8016,BURLINGTON CITY,BURLINGTON CITY PD,248,20.67
Burlington,0,BURLINGTON CO PROSECUTORS OFF,BURLINGTON CO PROSECUTORS OFFICE,1,0.08
Burlington,8046,BURLINGTON TWP,BURLINGTON TWP PD,309,25.75
Morris,7405,BUTLER BORO,BUTLER BORO PD,50,4.17
Sussex,7821,BYRAM TWP,BYRAM TWP PD,48,4.00
Essex,7007,CALDWELL,CALDWELL PD,54,4.50
Hunterdon,7830,CALIFON BORO,CALIFON BOROUGH,0,0.00
Camden,8101,CAMDEN,CAMDEN PD,3417,284.75
Camden,0,CAMDEN CO SHERIFF'S D,CAMDEN CO SHERIFF'S DEPT,43,3.58
Cape May,8204,CAPE MAY CITY,CAPE MAY CITY PD,76,6.33
Cape May,0,CAPE MAY CO SHERIFF'S OFF,CAPE MAY CO SHERIFF'S OFFICE,2,0.17
Cape May,8212,CAPE MAY POINT BORO,CAPE MAY POINT BORO PD,2,0.17
Bergen,7072,CARLSTADT,CARLSTADT PD,93,7.75
Salem,8023,CARNEY'S POINT,CARNEY'S POINT PD,102,8.50
Middlesex,7008,CARTERET,CARTERET PD,340,28.33
Essex,7009,CEDAR GROVE,CEDAR GROVE PD,90,7.50
Morris,7928,CHATHAM BORO,CHATHAM BORO PD,39,3.25
Morris,7940,CHATHAM TWP,CHATHAM TWP PD,33,2.75
Camden,8002,CHERRY HILL TWP,CHERRY HILL TWP PD,2118,176.50
Camden,8089,CHESILHURST,CHESILHURST PD,50,4.17
Morris,7930,CHESTER BORO,CHESTER BORO PD,6,0.50
Morris,7836,CHESTER TWP,CHESTER TWP PD,22,1.83
Burlington,8515,CHESTERFIELD TWP,CHESTERFIELD TWP PD,14,1.17
Burlington,8077,CINNAMINSON,CINNAMINSON PD,300,25.00
Union,7066,CLARK,CLARK PD,231,19.25
Gloucester,8312,CLAYTON,CLAYTON PD,80,6.67
Camden,8021,CLEMENTON BORO,CLEMENTON BORO PD,150,12.50
Bergen,7010,CLIFFSIDE PARK,CLIFFSIDE PARK PD,165,13.75
Passaic,7011,CLIFTON,CLIFTON PD,1451,120.92
Hunterdon,8809,CLINTON TOWN,CLINTON TOWN PD,14,1.17
Hunterdon,8809,CLINTON TWP,CLINTON TWP PD,51,4.25
Bergen,7624,CLOSTER,CLOSTER PD,59,4.92
Mercer,0,COLLEGE OF NEW JER,COLLEGE OF NEW JERSEY,69,5.75
Camden,8108,COLLINGSWOOD,COLLINGSWOOD PD,309,25.75
Monmouth,7722,COLTS NECK,COLTS NECK PD,59,4.92
Middlesex,8512,CRANBURY TWP,CRANBURY TWP PD,37,3.08
Union,7016,CRANFORD,CRANFORD PD,152,12.67
Bergen,7626,CRESSKILL,CRESSKILL PD,48,4.00
Cumberland,0,CUMBERLAND CO SHERIFF'S D,CUMBERLAND CO SHERIFF'S DEPT,1,0.08
Monmouth,7723,DEAL,DEAL PD,25,2.08
Burlington,8075,DELANCO TWP,DELANCO TWP PD,52,4.33
Hunterdon,7833,DELAWARE TWP,DELAWARE TWP PD,15,1.25
Burlington,8075,DELRAN TWP,DELRAN TWP PD,184,15.33
Bergen,7627,DEMAREST,DEMAREST PD,21,1.75
Morris,7834,DENVILLE,DENVILLE PD,92,7.67
Mercer,0,DEPT OF CORRECTI,DEPT OF CORRECTIONS,36,3.00
Gloucester,8096,DEPTFORD TWP,DEPTFORD TWP PD,1200,100.00
Morris,7801,DOVER,DOVER PD,213,17.75
Bergen,7628,DUMONT,DUMONT PD,54,4.50
Middlesex,8812,DUNELLEN,DUNELLEN PD,100,8.33
Middlesex,8816,EAST BRUNSWICK TWP,EAST BRUNSWICK TWP PD,664,55.33
Gloucester,8056,EAST GREENWICH TWP,EAST GREENWICH TWP PD,72,6.00
Morris,7936,EAST HANOVER TWP,EAST HANOVER TWP PD,108,9.00
Hudson,7029,EAST NEWARK,EAST NEWARK PD,45,3.75
Essex,7017,EAST ORANGE,EAST ORANGE PD,1237,103.08
Bergen,7073,EAST RUTHERFORD,EAST RUTHERFORD PD,162,13.50
Mercer,8520,EAST WINDSOR TWP,EAST WINDSOR TWP PD,189,15.75
Burlington,8060,EASTAMPTON TWP,EASTAMPTON TWP PD,65,5.42
Monmouth,7724,EATONTOWN,EATONTOWN PD,307,25.58
Bergen,7020,EDGEWATER,EDGEWATER PD,150,12.50
Burlington,8010,EDGEWATER PARK TWP,EDGEWATER PARK TWP PD,141,11.75
Middlesex,8817,EDISON TWP,EDISON TWP PD,1267,105.58
Atlantic,8215,EGG HARBOR CITY,EGG HARBOR CITY PD,131,10.92
Atlantic,8234,EGG HARBOR TWP,EGG HARBOR TWP PD,964,80.33
Union,7201,ELIZABETH,ELIZABETH PD,4899,408.25
Gloucester,8343,ELK TWP,ELK TWP PD,35,2.92
Salem,8318,ELMER BORO,ELMER BORO PD,4,0.33
Bergen,7407,ELMWOOD PARK,ELMWOOD PARK PD,375,31.25
Salem,8079,ELSINBORO TWP,ELSINBORO TWP PD,9,0.75
Bergen,7630,EMERSON,EMERSON PD,38,3.17
Bergen,7631,ENGLEWOOD,ENGLEWOOD PD,366,30.50
Bergen,7632,ENGLEWOOD CLIFFS,ENGLEWOOD CLIFFS PD,63,5.25
Monmouth,7726,ENGLISHTOWN,ENGLISHTOWN PD,26,2.17
Essex,0,ESSEX CO SHERIFF'S OFF,ESSEX CO SHERIFF'S OFFICE,218,18.17
Essex,0,ESSEX COUNTY COLLEGE,ESSEX COUNTY COLLEGE PD,50,4.17
Essex,7021,ESSEX FELLS,ESSEX FELLS PD,15,1.25
Burlington,8043,EVESHAM TWP,EVESHAM TWP PD,540,45.00
Mercer,8618,EWING TWP,EWING TWP PD,754,62.83
Monmouth,7704,FAIR HAVEN,FAIR HAVEN PD,24,2.00
Bergen,7410,FAIR LAWN,FAIR LAWN PD,323,26.92
Essex,7004,FAIRFIELD,FAIRFIELD PD,183,15.25
Bergen,7022,FAIRVIEW,FAIRVIEW PD,179,14.92
Union,7023,FANWOOD,FANWOOD PD,33,2.75
Somerset,7931,FAR HILLS,FAR HILLS PD,7,0.58
Burlington,8505,FIELDSBORO,FIELDSBORO PD,12,1.00
Hunterdon,8822,FLEMINGTON,FLEMINGTON PD,68,5.67
Burlington,8518,FLORENCE TWP,FLORENCE TWP PD,102,8.50
Morris,7932,FLORHAM PARK,FLORHAM PARK PD,68,5.67
Bergen,7024,FORT LEE,FORT LEE PD,293,24.42
Sussex,7416,FRANKLIN BORO,FRANKLIN BORO PD,42,3.50
Bergen,7417,FRANKLIN LAKES BORO,FRANKLIN LAKES BORO PD,60,5.00
Gloucester,8322,FRANKLIN TWP,FRANKLIN TWP PD,245,20.42
Hunterdon,8867,FRANKLIN TWP,FRANKLIN TWP PD,30,2.50
Somerset,8873,FRANKLIN TWP,FRANKLIN TWP PD,718,59.83
Monmouth,7728,FREEHOLD BORO,FREEHOLD BORO PD,145,12.08
Monmouth,7728,FREEHOLD TWP,FREEHOLD TWP PD,492,41.00
Hunterdon,8825,FRENCHTOWN BORO,FRENCHTOWN BORO PD,1,0.08
Atlantic,8215,GALLOWAY TWP,GALLOWAY TWP PD,472,39.33
Bergen,7026,GARFIELD,GARFIELD PD,664,55.33
Union,7027,GARWOOD,GARWOOD PD,33,2.75
Camden,8026,GIBBSBORO,GIBBSBORO PD,32,2.67
Gloucester,8028,GLASSBORO,GLASSBORO PD,365,30.42
Essex,7028,GLEN RIDGE,GLEN RIDGE PD,159,13.25
Bergen,7452,GLEN ROCK,GLEN ROCK PD,49,4.08
Camden,8030,GLOUCESTER CITY,GLOUCESTER CITY PD,303,25.25
Gloucester,0,GLOUCESTER CO SHERIFF'S D,GLOUCESTER CO SHERIFF'S DEPT,2,0.17
Camden,8049,GLOUCESTER TWP,GLOUCESTER TWP PD,1023,85.25
Somerset,7060,GREEN BROOK,GREEN BROOK PD,104,8.67
Gloucester,8066,GREENWICH TWP,GREENWICH TWP PD,75,6.25
Warren,8886,GREENWICH TWP,GREENWICH TWP PD,80,6.67
Hudson,7093,GUTTENBERG,GUTTENBERG PD,127,10.58
Bergen,7601,HACKENSACK,HACKENSACK PD,765,63.75
Warren,7840,HACKETTSTOWN,HACKETTSTOWN PD,16,1.33
Camden,8035,HADDON HEIGHTS,HADDON HEIGHTS PD,44,3.67
Camden,8104,HADDON TWP,HADDON TWP PD,266,22.17
Camden,8033,HADDONFIELD,HADDONFIELD PD,106,8.83
Passaic,7508,HALEDON,HALEDON PD,135,11.25
Sussex,7419,HAMBURG PD,HAMBURG PD,12,1.00
Atlantic,8037,HAMILTON TWP,HAMILTON TWP PD,914,76.17
Mercer,8629,HAMILTON TWP,HAMILTON TWP PD,1816,151.33
Atlantic,8037,HAMMONTON,HAMMONTON PD,158,13.17
Morris,7960,HANOVER TWP,HANOVER TWP PD,165,13.75
Morris,7933,HARDING TWP,HARDING TWP PD,18,1.50
Sussex,7460,HARDYSTON TWP,HARDYSTON TWP POLICE DEPT,45,3.75
Bergen,7640,HARRINGTON PARK,HARRINGTON PARK PD,13,1.08
Hudson,7029,HARRISON,HARRISON PD,414,34.50
Gloucester,8062,HARRISON TWP,HARRISON TWP PD,69,5.75
Ocean,8008,HARVEY CEDARS BORO,HARVEY CEDARS BORO PD,24,2.00
Bergen,7604,HASBROUCK HEIGHTS,HASBROUCK HEIGHTS PD,52,4.33
Bergen,7641,HAWORTH,HAWORTH PD,12,1.00
Passaic,7506,HAWTHORNE,HAWTHORNE PD,179,14.92
Monmouth,7730,HAZLET TWP,HAZLET TWP PD,231,19.25
Middlesex,8828,HELMETTA,HELMETTA PD,8,0.67
Hunterdon,8829,HIGH BRIDGE BORO,HIGH BRIDGE BORO PD,25,2.08
Middlesex,8904,HIGHLAND PARK,HIGHLAND PARK PD,174,14.50
Monmouth,7732,HIGHLANDS,HIGHLANDS PD,29,2.42
Mercer,8520,HIGHTSTOWN,HIGHTSTOWN PD,35,2.92
Somerset,8844,HILLSBOROUGH TWP,HILLSBOROUGH TWP PD,255,21.25
Bergen,7642,HILLSDALE,HILLSDALE PD,44,3.67
Union,7205,HILLSIDE,HILLSIDE PD,581,48.42
Camden,8083,HI-NELLA POLICE DEPARTM,HI-NELLA POLICE DEPARTMENT,11,0.92
Hudson,7030,HOBOKEN,HOBOKEN PD,981,81.75
Bergen,7423,HO-HO-KUS,HO-HO-KUS PD,32,2.67
Hunterdon,8804,HOLLAND TWP,HOLLAND TWP PD,13,1.08
Monmouth,7733,HOLMDEL,HOLMDEL PD,133,11.08
Sussex,7843,HOPATCONG,HOPATCONG PD,48,4.00
Mercer,8525,HOPEWELL BORO,HOPEWELL BOROUGH,6,0.50
Mercer,8540,HOPEWELL TWP,HOPEWELL TWP PD,84,7.00
Monmouth,7731,HOWELL TWP,HOWELL TWP PD,387,32.25
Warren,7838,INDEPENDENCE TWP,INDEPENDENCE TWP PD,5,0.42
Monmouth,7712,INTERLAKEN,INTERLAKEN PD,5,0.42
Essex,7111,IRVINGTON,IRVINGTON PD,1631,135.92
Ocean,8732,ISLAND HEIGHTS BORO,ISLAND HEIGHTS BORO PD,15,1.25
Ocean,8527,JACKSON TWP,JACKSON TWP PD,387,32.25
Middlesex,8831,JAMESBURG,JAMESBURG PD,61,5.08
Morris,7460,JEFFERSON TWP,JEFFERSON TWP PD,89,7.42
Hudson,7097,JERSEY CITY,JERSEY CITY PD,6014,501.17
Union,0,KEAN UNIVERSITY,KEAN UNIVERSITY PD,62,5.17
Monmouth,7734,KEANSBURG,KEANSBURG PD,193,16.08
Hudson,7032,KEARNY,KEARNY PD,715,59.58
Union,7033,KENILWORTH,KENILWORTH PD,123,10.25
Monmouth,7735,KEYPORT,KEYPORT PD,104,8.67
Morris,7405,KINNELON BORO,KINNELON BORO PD,26,2.17
Ocean,8015,LACEY TWP,LACEY TWP PD,275,22.92
Monmouth,7719,LAKE COMO BORO,LAKE COMO BORO PD,18,1.50
Ocean,8733,LAKEHURST BORO,LAKEHURST BORO PD,39,3.25
Ocean,8701,LAKEWOOD,LAKEWOOD PD,908,75.67
Hunterdon,8530,LAMBERTVILLE CITY,LAMBERTVILLE CITY PD,46,3.83
Camden,8021,LAUREL SPRINGS,LAUREL SPRINGS PD,24,2.00
Ocean,8735,LAVALLETTE,LAVALLETTE PD,23,1.92
Camden,8045,LAWNSIDE BORO,LAWNSIDE BORO PD,128,10.67
Mercer,8648,LAWRENCE TWP,LAWRENCE TWP PD,626,52.17
Hunterdon,8833,LEBANON TWP,LEBANON TWP PD,31,2.58
Bergen,7605,LEONIA,LEONIA PD,77,6.42
Morris,7035,LINCOLN PARK,LINCOLN PARK PD,60,5.00
Union,7036,LINDEN ,LINDEN PD,1248,104.00
Camden,8026,LINDENWOLD BORO,LINDENWOLD BORO PD,566,47.17
Atlantic,8221,LINWOOD CITY,LINWOOD CITY PD,57,4.75
Ocean,8087,LITTLE EGG HARBOR TWP,LITTLE EGG HARBOR TWP PD,245,20.42
Passaic,7424,LITTLE FALLS,LITTLE FALLS PD,129,10.75
Bergen,7643,LITTLE FERRY,LITTLE FERRY PD,101,8.42
Monmouth,7739,LITTLE SILVER,LITTLE SILVER PD,36,3.00
Essex,7039,LIVINGSTON,LIVINGSTON PD,300,25.00
Monmouth,7711,LOCH ARBOUR VILLAGE,LOCH ARBOUR VILLAGE PD,4,0.33
Bergen,7644,LODI,LODI PD,282,23.50
Gloucester,8067,LOGAN TWP,LOGAN TWP PD,120,10.00
Ocean,8008,LONG BEACH TWP,LONG BEACH TWP PD,62,5.17
Monmouth,7740,LONG BRANCH,LONG BRANCH PD,763,63.58
Morris,7946,LONG HILL TWP,LONG HILL TWP PD,46,3.83
Atlantic,8403,LONGPORT,LONGPORT PD,5,0.42
Warren,8865,LOPATCONG TWP,LOPATCONG TWP PD,11,0.92
Salem,8079,LOWER ALLOWAYS CREEK TWP,LOWER ALLOWAYS CREEK TWP PD,8,0.67
Cape May,8251,LOWER TWP,LOWER TWP PD,198,16.50
Burlington,8048,LUMBERTON TWP,LUMBERTON TWP PD,222,18.50
Bergen,7071,LYNDHURST,LYNDHURST PD,180,15.00
Morris,7940,MADISON,MADISON PD,79,6.58
Camden,8049,MAGNOLIA,MAGNOLIA PD,94,7.83
Bergen,7430,MAHWAH TWP,MAHWAH TWP PD,101,8.42
Monmouth,7763,MANALAPAN TWP,MANALAPAN TWP PD,231,19.25
Monmouth,8736,MANASQUAN,MANASQUAN PD,67,5.58
Ocean,8759,MANCHESTER TWP,MANCHESTER TWP PD,253,21.08
Burlington,8505,MANSFIELD TWP,MANSFIELD TWP PD,64,5.33
Warren,7865,MANSFIELD TWP,MANSFIELD TWP PD,40,3.33
Ocean,8738,MANTOLOKING BORO,MANTOLOKING BORO PD,11,0.92
Gloucester,8051,MANTUA TWP,MANTUA TWP PD,197,16.42
Somerset,8835,MANVILLE,MANVILLE PD,232,19.33
Burlington,8052,MAPLE SHADE,MAPLE SHADE PD,343,28.58
Essex,7040,MAPLEWOOD,MAPLEWOOD PD,416,34.67
Atlantic,8402,MARGATE,MARGATE PD,144,12.00
Monmouth,7746,MARLBORO TWP,MARLBORO TWP PD,296,24.67
Monmouth,7746,MATAWAN,MATAWAN PD,10,0.83
Bergen,7607,MAYWOOD,MAYWOOD PD,72,6.00
Burlington,8055,MEDFORD LAKES,MEDFORD LAKES PD,22,1.83
Burlington,8055,MEDFORD TWP,MEDFORD TWP PD,223,18.58
Morris,7945,MENDHAM BORO,MENDHAM BORO PD,24,2.00
Morris,7945,MENDHAM TWP,MENDHAM TWP PD,12,1.00
Mercer,0,MERCER CO SHERIFF'S D,MERCER CO SHERIFF'S DEPT,14,1.17
Camden,8109,MERCHANTVILLE,MERCHANTVILLE PD,68,5.67
Middlesex,8840,METUCHEN,METUCHEN PD,133,11.08
Cape May,8210,MIDDLE TWSP,MIDDLE TWSP PD,445,37.08
Middlesex,8846,MIDDLESEX BORO,MIDDLESEX BORO PD,111,9.25
Middlesex,0,MIDDLESEX CO COLLEGE,MIDDLESEX CO COLLEGE PD,8,0.67
Monmouth,7748,MIDDLETOWN,MIDDLETOWN PD,402,33.50
Bergen,7432,MIDLAND PARK,MIDLAND PARK PD,38,3.17
Essex,7041,MILLBURN,MILLBURN PD,377,31.42
Middlesex,8850,MILLTOWN,MILLTOWN PD,115,9.58
