County,Zip Code,City,Agency PD,Total Yearly Crimes,Monthly Avg
Cumberland,8332,MILLVILLE,MILLVILLE PD,1344,112.00
Morris,7803,MINE HILL TWP,MINE HILL TWP PD,16,1.33
Monmouth,7750,MONMOUTH BEACH,MONMOUTH BEACH PD,26,2.17
Monmouth,0,MONMOUTH CO SHERIFF'S D,MONMOUTH CO SHERIFF'S DEPT,8,0.67
Monmouth,0,MONMOUTH UNIVERSITY,MONMOUTH UNIVERSITY PD,25,2.08
Gloucester,8094,MONROE TWP,MONROE TWP PD,509,42.42
Middlesex,8831,MONROE TWP,MONROE TWP PD,163,13.58
Essex,7042,MONTCLAIR,MONTCLAIR PD,539,44.92
Essex,0,MONTCLAIR STATE COLLEGE,MONTCLAIR STATE COLLEGE PD,94,7.83
Somerset,8528,MONTGOMERY TWP,MONTGOMERY TWP PD,104,8.67
Bergen,7645,MONTVALE,MONTVALE PD,20,1.67
Morris,7045,MONTVILLE TWP,MONTVILLE TWP PD,177,14.75
Bergen,7074,MOONACHIE,MOONACHIE PD,62,5.17
Burlington,8057,MOORESTOWN,MOORESTOWN PD,264,22.00
Morris,7932,MORRIS COUNTY PARK,MORRIS COUNTY PARK PD,10,0.83
Morris,7950,MORRIS PLAINS,MORRIS PLAINS PD,64,5.33
Morris,7960,MORRIS TWP,MORRIS TWP PD,126,10.50
Morris,7961,MORRISTOWN,MORRISTOWN PD,232,19.33
Morris,7856,MOUNT ARLINGTON BORO,MOUNT ARLINGTON BORO PD,26,2.17
Burlington,8060,MOUNT HOLLY,MOUNT HOLLY PD,269,22.42
Burlington,8054,MOUNT LAUREL TWP,MOUNT LAUREL TWP PD,716,59.67
Morris,7857,MOUNT OLIVE TWP,MOUNT OLIVE TWP PD,83,6.92
Morris,7046,MOUNTAIN LAKES,MOUNTAIN LAKES PD,43,3.58
Union,7092,MOUNTAINSIDE,MOUNTAINSIDE PD,55,4.58
Camden,8059,MT. EPHRAIM,MT. EPHRAIM PD,206,17.17
Atlantic,8062,MULLICA TWP,MULLICA TWP PD,77,6.42
Gloucester,8063,NATIONAL PARK,NATIONAL PARK PD,35,2.92
Monmouth,7720,NEPTUNE CITY,NEPTUNE CITY PD,151,12.58
Monmouth,7753,NEPTUNE TWP,NEPTUNE TWP PD,957,79.75
Morris,7857,NETCONG BORO,NETCONG BORO PD,17,1.42
Middlesex,8901,NEW BRUNSWICK,NEW BRUNSWICK PD,1519,126.58
Burlington,8511,NEW HANOVER TWP,NEW HANOVER TWP PD,2,0.17
Essex,0,NEW JERSEY INSTITUTE OF TECHNOL,NEW JERSEY INSTITUTE OF TECHNOLOGY,74,6.17
Essex,0,NEW JERSEY TRANSIT POL,NEW JERSEY TRANSIT POLICE,309,25.75
Bergen,7646,NEW MILFORD,NEW MILFORD PD,57,4.75
Union,7974,NEW PROVIDENCE,NEW PROVIDENCE PD,65,5.42
Essex,7101,NEWARK,NEWARK PD,7743,645.25
Gloucester,8344,NEWFIELD,NEWFIELD PD,14,1.17
Sussex,7860,NEWTON,NEWTON PD,92,7.67
Mercer,0,NJ DEPARTMENT OF HUMAN SERVI,NJ DEPARTMENT OF HUMAN SERVICES,93,7.75
Mercer,0,NJ DIV CRIMINAL JUSTICE - TREN,NJ DIV CRIMINAL JUSTICE - TRENTON,1,0.08
Mercer,0,NJ DIVISION OF FISH & WILDL,NJ DIVISION OF FISH & WILDLIFE,7,0.58
Mercer,0,NJ PARK POL,NJ PARK POLICE,59,4.92
Bergen,7031,NORTH ARLINGTON,NORTH ARLINGTON PD,153,12.75
Hudson,7047,NORTH BERGEN,NORTH BERGEN PD,533,44.42
Middlesex,8902,NORTH BRUNSWICK TWP,NORTH BRUNSWICK TWP PD,736,61.33
Essex,7006,NORTH CALDWELL,NORTH CALDWELL PD,14,1.17
Passaic,7508,NORTH HALEDON,NORTH HALEDON PD,35,2.92
Burlington,8562,NORTH HANOVER TWP,NORTH HANOVER TWP PD,28,2.33
Somerset,7060,NORTH PLAINFIELD,NORTH PLAINFIELD PD,377,31.42
Cape May,8260,NORTH WILDWOOD CITY,NORTH WILDWOOD CITY PD,180,15.00
Atlantic,8225,NORTHFIELD,NORTHFIELD PD,86,7.17
Bergen,7647,NORTHVALE,NORTHVALE PD,7,0.58
Bergen,7648,NORWOOD,NORWOOD PD,15,1.25
Essex,7110,NUTLEY,NUTLEY PD,224,18.67
Bergen,7436,OAKLAND,OAKLAND PD,55,4.58
Camden,8107,OAKLYN BORO,OAKLYN BORO PD,150,12.50
Cape May,8226,OCEAN CITY,OCEAN CITY PD,288,24.00
Ocean,0,OCEAN CO SHERIFF'S DEPT,OCEAN CO SHERIFF'S DEPT,8,0.67
Monmouth,7723,OCEAN TWP,OCEAN TWP PD,606,50.50
Ocean,8758,OCEAN TWP,OCEAN TWP PD,55,4.58
Ocean,8740,OCEANGATE BORO,OCEANGATE BORO PD,31,2.58
Monmouth,7757,OCEANPORT,OCEANPORT PD,51,4.25
Sussex,7439,OGDENSBURG,OGDENSBURG PD,4,0.33
Middlesex,8857,OLD BRIDGE TWP,OLD BRIDGE TWP PD,518,43.17
Bergen,7675,OLD TAPPAN,OLD TAPPAN PD,23,1.92
Bergen,7649,ORADELL,ORADELL PD,31,2.58
Essex,7050,ORANGE,ORANGE PD,998,83.17
Warren,7863,OXFORD TWP,OXFORD TWP PD,0,0.00
Bergen,0,PALISADES INTER. PARKWAY,PALISADES INTER. PARKWAY PD,12,1.00
Bergen,7650,PALISADES PARK,PALISADES PARK PD,147,12.25
Burlington,8065,PALMYRA BORO,PALMYRA BORO PD,164,13.67
Bergen,7652,PARAMUS,PARAMUS PD,1091,90.92
Bergen,7656,PARK RIDGE,PARK RIDGE PD,18,1.50
Morris,7054,PARSIPPANY-TROY HILLS,PARSIPPANY-TROY HILLS PD,391,32.58
Passaic,7055,PASSAIC,PASSAIC PD,1704,142.00
Passaic,7501,PATERSON,PATERSON PD,4640,386.67
Gloucester,8066,PAULSBORO,PAULSBORO PD,212,17.67
Passaic,7977,PEAPACK-GLADSTONE,PEAPACK-GLADSTONE PD,19,1.58
Burlington,8068,PEMBERTON BORO,PEMBERTON BORO PD,30,2.50
Burlington,8011,PEMBERTON TWP,PEMBERTON TWP PD,637,53.08
Mercer,8534,PENNINGTON BORO,PENNINGTON BORO PD,6,0.50
Salem,8069,PENNS GROVE,PENNS GROVE PD,213,17.75
Camden,8110,PENNSAUKEN TWP,PENNSAUKEN TWP PD,1010,84.17
Salem,8070,PENNSVILLE,PENNSVILLE PD,242,20.17
Morris,7440,PEQUANNOCK,PEQUANNOCK PD,96,8.00
Middlesex,8861,PERTH AMBOY,PERTH AMBOY PD,886,73.83
Warren,8865,PHILLIPSBURG,PHILLIPSBURG PD,65,5.42
Ocean,8741,PINE BEACH BORO,PINE BEACH BORO PD,23,1.92
Camden,8009,PINE HILL,PINE HILL PD,187,15.58
Camden,8021,PINE VALLEY BORO,PINE VALLEY BORO PD,0,0.00
Middlesex,8854,PISCATAWAY TWP,PISCATAWAY TWP PD,479,39.92
Gloucester,8071,PITMAN,PITMAN PD,52,4.33
Union,7060,PLAINFIELD,PLAINFIELD PD,1015,84.58
Middlesex,8536,PLAINSBORO TWP,PLAINSBORO TWP PD,128,10.67
Atlantic,8232,PLEASANTVILLE,PLEASANTVILLE PD,398,33.17
Ocean,8533,PLUMSTED TWP,PLUMSTED TWP PD,54,4.50
Warren,8804,POHATCONG,POHATCONG PD,79,6.58
Ocean,8742,POINT PLEASANT BEACH,POINT PLEASANT BEACH PD,67,5.58
Ocean,8742,POINT PLEASANT BORO,POINT PLEASANT BORO PD,129,10.75
Passaic,7442,POMPTON LAKES BORO,POMPTON LAKES BORO PD,104,8.67
Hudson,0,PORT AUTHORITY OF NY AND,PORT AUTHORITY OF NY AND NJ,682,56.83
Mercer,8540,PRINCETON,PRINCETON PD,235,19.58
Mercer,0,PRINCETON UNIVERSITY POL,PRINCETON UNIVERSITY POLICE,192,16.00
Passaic,7508,PROSPECT PARK BORO,PROSPECT PARK BORO PD,100,8.33
Union,7065,RAHWAY,RAHWAY PD,279,23.25
Bergen,7446,RAMSEY,RAMSEY PD,108,9.00
Morris,7869,RANDOLPH TWP,RANDOLPH TWP PD,130,10.83
Somerset,8869,RARITAN,RARITAN PD,60,5.00
Hunterdon,8896,RARITAN TWP,RARITAN TWP PD,100,8.33
Hunterdon,8870,READINGTON,READINGTON PD,84,7.00
Monmouth,7701,RED BANK,RED BANK PD,183,15.25
Bergen,7657,RIDGEFIELD BORO,RIDGEFIELD BORO PD,71,5.92
Bergen,7660,RIDGEFIELD PARK,RIDGEFIELD PARK PD,112,9.33
Bergen,7450,RIDGEWOOD VILLAGE,RIDGEWOOD VILLAGE PD,160,13.33
Passaic,7456,RINGWOOD BORO,RINGWOOD BORO PD,54,4.50
Bergen,7661,RIVER EDGE,RIVER EDGE PD,64,5.33
Bergen,7675,RIVER VALE,RIVER VALE PD,25,2.08
Morris,7457,RIVERDALE,RIVERDALE PD,93,7.75
Burlington,8075,RIVERSIDE,RIVERSIDE PD,22,1.83
Burlington,8076,RIVERTON BORO,RIVERTON BORO PD,37,3.08
Mercer,8638,ROBBINSVILLE TOWNSHIP POL,ROBBINSVILLE TOWNSHIP POLICE,61,5.08
Bergen,7662,ROCHELLE PARK,ROCHELLE PARK PD,74,6.17
Morris,7866,ROCKAWAY BORO,ROCKAWAY BORO PD,54,4.50
Morris,7438,ROCKAWAY TWP,ROCKAWAY TWP PD,300,25.00
Bergen,7647,ROCKLEIGH BORO,ROCKLEIGH BOROUGH,1,0.08
Essex,7068,ROSELAND,ROSELAND PD,32,2.67
Union,7203,ROSELLE,ROSELLE PD,326,27.17
Union,7204,ROSELLE PARK ,ROSELLE PARK PD,109,9.08
Gloucester,0,ROWAN UNIVERSITY OF,ROWAN UNIVERSITY OF NJ,110,9.17
Morris,7850,ROXBURY TWP,ROXBURY TWP PD,128,10.67
Monmouth,7760,RUMSON,RUMSON PD,27,2.25
Camden,8078,RUNNEMEDE,RUNNEMEDE PD,215,17.92
Essex,0,RUTGERS NEWARK CAM,RUTGERS NEWARK CAMPUS,292,24.33
Camden,0,RUTGERS UNIV CAMPUS,RUTGERS UNIV CAMPUS PD,78,6.50
Middlesex,0,RUTGERS UNIVERSITY,RUTGERS UNIVERSITY PD,415,34.58
Bergen,7070,RUTHERFORD,RUTHERFORD PD,183,15.25
Bergen,7663,SADDLE BROOK,SADDLE BROOK PD,193,16.08
Bergen,7458,SADDLE RIVER,SADDLE RIVER PD,29,2.42
Salem,8079,SALEM,SALEM PD,264,22.00
Middlesex,8871,SAYREVILLE,SAYREVILLE PD,345,28.75
Union,7076,SCOTCH PLAINS,SCOTCH PLAINS PD,181,15.08
Monmouth,7760,SEA BRIGHT,SEA BRIGHT PD,7,0.58
Monmouth,8750,SEA GIRT,SEA GIRT PD,36,3.00
Cape May,8243,SEA ISLE CITY,SEA ISLE CITY PD,106,8.83
Ocean,8751,SEASIDE HEIGHTS,SEASIDE HEIGHTS PD,241,20.08
Ocean,8752,SEASIDE PARK,SEASIDE PARK PD,26,2.17
Hudson,7094,SECAUCUS,SECAUCUS PD,556,46.33
Ocean,7096,SHIP BOTTOM BORO,SHIP BOTTOM BORO PD,23,1.92
Monmouth,7702,SHREWSBURY,SHREWSBURY PD,86,7.17
Camden,8083,SOMERDALE,SOMERDALE PD,188,15.67
Atlantic,8244,SOMERS POINT,SOMERS POINT PD,260,21.67
Somerset,8876,SOMERVILLE,SOMERVILLE PD,147,12.25
Middlesex,8879,SOUTH AMBOY,SOUTH AMBOY PD,103,8.58
Somerset,8880,SOUTH BOUND BROOK,SOUTH BOUND BROOK PD,32,2.67
Middlesex,8810,SOUTH BRUNSWICK TWP,SOUTH BRUNSWICK TWP PD,299,24.92
Bergen,7606,SOUTH HACKENSACK,SOUTH HACKENSACK PD,69,5.75
Gloucester,8085,SOUTH HARRISON,SOUTH HARRISON PD,13,1.08
Essex,7079,SOUTH ORANGE,SOUTH ORANGE PD,315,26.25
Middlesex,7080,SOUTH PLAINFIELD,SOUTH PLAINFIELD PD,420,35.00
Middlesex,8882,SOUTH RIVER,SOUTH RIVER PD,141,11.75
Ocean,8757,SOUTH TOMS RIVER,SOUTH TOMS RIVER PD,50,4.17
Atlantic,0,SP: ATLANTIC COU,SP: ATLANTIC COUNTY,568,47.33
Sussex,7871,SPARTA,SPARTA PD,59,4.92
Middlesex,8884,SPOTSWOOD,SPOTSWOOD PD,62,5.17
Monmouth,7762,SPRING LAKE,SPRING LAKE PD,41,3.42
Monmouth,7762,SPRING LAKE HEIGHTS,SPRING LAKE HEIGHTS PD,18,1.50
Burlington,8068,SPRINGFIELD TWP,SPRINGFIELD TWP PD,27,2.25
Union,7081,SPRINGFIELD TWP,SPRINGFIELD TWP PD,148,12.33
Ocean,8050,STAFFORD TWP,STAFFORD TWP PD,198,16.50
Sussex,7874,STANHOPE,STANHOPE PD,20,1.67
Bergen,0,STATE POLICE BERGEN COU,STATE POLICE BERGEN COUNTY,38,3.17
Burlington,0,STATE POLICE BURLINGTON COU,STATE POLICE BURLINGTON COUNTY,231,19.25
Camden,0,STATE POLICE CAMDEN COU,STATE POLICE CAMDEN COUNTY,39,3.25
Cape May,0,STATE POLICE CAPE MAY COU,STATE POLICE CAPE MAY COUNTY,123,10.25
Cumberland,0,STATE POLICE CUMBERLAND COU,STATE POLICE CUMBERLAND COUNTY,516,43.00
Essex,0,STATE POLICE ESSEX COU,STATE POLICE ESSEX COUNTY,26,2.17
Gloucester,0,STATE POLICE GLOUCESTER COU,STATE POLICE GLOUCESTER COUNTY,11,0.92
Hudson,0,STATE POLICE HUDSON COU,STATE POLICE HUDSON COUNTY,9,0.75
Hunterdon,0,STATE POLICE HUNTERDON COU,STATE POLICE HUNTERDON COUNTY,92,7.67
Mercer,0,STATE POLICE MERCER COU,STATE POLICE MERCER COUNTY,60,5.00
Middlesex,0,STATE POLICE MIDDLESEX COU,STATE POLICE MIDDLESEX COUNTY,35,2.92
Monmouth,0,STATE POLICE MONMOUTH COU,STATE POLICE MONMOUTH COUNTY,90,7.50
Morris,0,STATE POLICE MORRIS COUNTY,STATE POLICE MORRIS COUNTY,14,1.17
Ocean,0,STATE POLICE OCEAN COUNTY,STATE POLICE OCEAN COUNTY,14,1.17
Passaic,0,STATE POLICE PASSAIC COUNTY,STATE POLICE PASSAIC COUNTY,8,0.67
Salem,0,STATE POLICE SALEM COUNTY,STATE POLICE SALEM COUNTY,244,20.33
Somerset,0,STATE POLICE SOMERSET COUNTY,STATE POLICE SOMERSET COUNTY,4,0.33
Sussex,0,STATE POLICE SUSSEX COUNTY,STATE POLICE SUSSEX COUNTY,210,17.50
Union,0,STATE POLICE UNION COUNTY,STATE POLICE UNION COUNTY,11,0.92
Warren,0,STATE POLICE WARREN COUNTY,STATE POLICE WARREN COUNTY,26,2.17
Hudson,0,STEVENS INSTITUTE OF TECHNOL,STEVENS INSTITUTE OF TECHNOLOGY,16,1.33
Atlantic,0,STOCKTON UNIVERS,STOCKTON UNIVERSITY,30,2.50
Cape May,8247,STONE HARBOR BORO,STONE HARBOR BORO PD,63,5.25
Camden,8084,STRATFORD BORO,STRATFORD BORO PD,83,6.92
Union,7901,SUMMIT,SUMMIT PD,150,12.50
Ocean,8008,SURF CITY,SURF CITY PD,12,1.00
Gloucester,8085,SWEDESBORO,SWEDESBORO PD,15,1.25
Camden,8033,TAVISTOCK B,TAVISTOCK BORO,1,0.08
Bergen,7666,TEANECK,TEANECK PD,464,38.67
Bergen,7670,TENAFLY,TENAFLY PD,41,3.42
Bergen,7608,TETERBORO BORO,TETERBORO BOROUGH,138,11.50
Hunterdon,7830,TEWKSBURY TWP,TEWKSBURY TWP PD,12,1.00
Monmouth,7724,TINTON FALLS,TINTON FALLS PD,187,15.58
Ocean,8753,TOMS RIVER TOWNSHIP,TOMS RIVER TOWNSHIP,1372,114.33
Passaic,7511,TOTOWA BORO ,TOTOWA BORO  PD,231,19.25
Mercer,8601,TRENTON,TRENTON PD,3438,286.50
Ocean,8087,TUCKERTON BORO,TUCKERTON BORO PD,37,3.08
Monmouth,7735,UNION BEACH,UNION BEACH PD,31,2.58
Hudson,7087,UNION CITY,UNION CITY PD,1311,109.25
Union,7083,UNION CO,UNION CO PD,50,4.17
Union,7083,UNION TWP,UNION TWP PD,999,83.25
Bergen,7458,UPPER SADDLE RIVER,UPPER SADDLE RIVER PD,25,2.08
Atlantic,8406,VENTNOR,VENTNOR PD,276,23.00
Sussex,7462,VERNON TWP,VERNON TWP PD,101,8.42
Essex,7044,VERONA,VERONA PD,89,7.42
Cumberland,8360,VINELAND,VINELAND PD,2279,189.92
Camden,8043,VOORHEES TWP,VOORHEES TWP PD,417,34.75
Bergen,7463,WALDWICK,WALDWICK PD,49,4.08
Monmouth,7762,WALL TWP,WALL TWP PD,269,22.42
Bergen,7057,WALLINGTON,WALLINGTON PD,125,10.42
Passaic,7465,WANAQUE BORO,WANAQUE BORO PD,82,6.83
Somerset,7059,WARREN TWP,WARREN TWP PD,55,4.58
Warren,7882,WASHINGTON BORO,WASHINGTON BORO PD,10,0.83
Bergen,7676,WASHINGTON TWP,WASHINGTON TWP PD,29,2.42
Gloucester,8032,WASHINGTON TWP,WASHINGTON TWP PD,620,51.67
Morris,7865,WASHINGTON TWP,WASHINGTON TWP PD,57,4.75
Warren,7831,WASHINGTON TWP,WASHINGTON TWP PD,9,0.75
Somerset,7069,WATCHUNG,WATCHUNG PD,396,33.00
Camden,8089,WATERFORD TWP,WATERFORD TWP PD,71,5.92
Passaic,7477,WAYNE,WAYNE PD,1050,87.50
Hudson,7086,WEEHAWKEN,WEEHAWKEN PD,246,20.50
Gloucester,8090,WENONAH,WENONAH PD,16,1.33
Hunterdon,8530,WEST AMWELL TWP,WEST AMWELL TWP PD,18,1.50
Essex,7006,WEST CALDWELL,WEST CALDWELL PD,70,5.83
Cape May,8204,WEST CAPE MAY BORO,WEST CAPE MAY BORO PD,14,1.17
Gloucester,8051,WEST DEPTFORD TWP,WEST DEPTFORD TWP PD,309,25.75
Monmouth,7764,WEST LONG BRANCH,WEST LONG BRANCH PD,104,8.67
Passaic,7480,WEST MILFORD,WEST MILFORD PD,168,14.00
Hudson,7093,WEST NEW YORK,WEST NEW YORK PD,705,58.75
Essex,7052,WEST ORANGE,WEST ORANGE PD,706,58.83
Cape May,8260,WEST WILDWOOD BORO,WEST WILDWOOD BORO PD,6,0.50
Mercer,8550,WEST WINDSOR TWP,WEST WINDSOR TWP PD,309,25.75
Burlington,8036,WESTAMPTON TWP,WESTAMPTON TWP PD,162,13.50
Union,7090,WESTFIELD,WESTFIELD PD,221,18.42
Gloucester,8093,WESTVILLE,WESTVILLE PD,123,10.25
Bergen,7675,WESTWOOD,WESTWOOD PD,68,5.67
Morris,7885,WHARTON BORO,WHARTON BORO PD,71,5.92
Cape May,8260,WILDWOOD,WILDWOOD PD,354,29.50
Cape May,8260,WILDWOOD CREST BORO,WILDWOOD CREST BORO PD,68,5.67
Passaic,0,WILLIAM PATERSON UNIVERSITY,WILLIAM PATERSON UNIVERSITY PD,58,4.83
Burlington,8046,WILLINGBORO,WILLINGBORO PD,588,49.00
Union,7036,WINFIELD,WINFIELD PD,9,0.75
Camden,8095,WINSLOW TWP,WINSLOW TWP PD,576,48.00
Middlesex,7095,WOODBRIDGE TWP,WOODBRIDGE TWP PD,1667,138.92
Gloucester,8096,WOODBURY CITY,WOODBURY CITY PD,476,39.67
Gloucester,8097,WOODBURY HEIGHTS,WOODBURY HEIGHTS PD,52,4.33
Bergen,7677,WOODCLIFF LAKE,WOODCLIFF LAKE PD,20,1.67
Passaic,7013,WOODLAND PARK BORO,WOODLAND PARK BORO PD,159,13.25
Camden,8107,WOODLYNNE,WOODLYNNE PD,54,4.50
Bergen,7075,WOOD-RIDGE,WOOD-RIDGE PD,90,7.50
Salem,8098,WOODSTOWN BORO,WOODSTOWN BORO PD,48,4.00
Gloucester,8085,WOOLWICH TWP,WOOLWICH TWP PD,50,4.17
Bergen,7481,WYCKOFF TWP,WYCKOFF TWP PD,90,7.50
